1,Andre Dawson,9th,420,77.9%,118,44,21,64.5,42.5,53.5,57.2,2627,9927,1373,2774,438,1591,314,589,.279,.323,.482,.806,119,,,,,,,,,,,,,,*9*8D7
2,Bert Blyleven,13th,400,74.2%,120,50,22,95.3,50.7,73.0,62.1,699,451,19,59,0,25,0,5,.131,.144,.146,.290,-19,287,250,3.31,118,1.198,692,685,0,4970.0,4632,430,1322,3701,*1
3,Roberto Alomar,1st,397,73.7%,194,57,17,66.8,42.8,54.8,56.9,2379,9073,1508,2724,210,1134,474,1032,.300,.371,.443,.814,116,,,,,,,,,,,,,,*4/D6
4,Jack Morris,11th,282,52.3%,122,39,18,44.1,32.8,38.4,62.1,568,1,4,0,0,0,0,0,.000,.000,.000,.000,-100,254,186,3.90,105,1.296,549,527,0,3824.0,3567,389,1390,2478,*1/D
5,Barry Larkin,1st,278,51.6%,120,47,19,70.2,43.1,56.6,54.7,2180,7937,1329,2340,198,960,379,939,.295,.371,.444,.815,116,,,,,,,,,,,,,,*6/4D
6,Lee Smith,8th,255,47.3%,127,13,18,29.6,21.1,25.4,34.4,1023,64,2,3,1,2,0,3,.047,.090,.094,.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1
7,Edgar Martinez,1st,195,36.2%,132,50,18,68.3,43.6,56.0,55.0,2055,7213,1219,2247,309,1261,49,1283,.312,.418,.515,.933,147,,,,,,,,,,,,,,*D*5/3
8,Tim Raines,3rd,164,30.4%,90,47,23,69.1,42.2,55.6,53.3,2502,8872,1571,2605,170,980,808,1330,.294,.385,.425,.810,123,,,,,,,,,,,,,,*78D4/9
9,Mark McGwire,4th,128,23.7%,170,42,16,62.0,41.8,51.9,54.2,1874,6187,1167,1626,583,1414,12,1317,.263,.394,.588,.982,163,,,,,,,,,,,,,,*3D/59
10,Alan Trammell,9th,121,22.4%,118,40,20,70.4,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,.285,.352,.415,.767,110,,,,,,,,,,,,,,*6D5/478
11,Fred McGriff,1st,116,21.5%,100,48,19,52.4,35.8,44.1,54.2,2460,8757,1349,2490,493,1550,72,1305,.284,.377,.509,.886,134,,,,,,,,,,,,,,*3D
12,Don Mattingly,10th,87,16.1%,134,34,14,42.2,35.6,38.9,54.2,1785,7003,1007,2153,222,1099,14,588,.307,.358,.471,.830,127,,,,,,,,,,,,,,*3D97/548
13,Dave Parker,14th,82,15.2%,124,42,19,39.9,37.2,38.6,58.1,2466,9358,1272,2712,339,1493,154,683,.290,.339,.471,.810,121,,,,,,,,,,,,,,*9*D78/34
14,Dale Murphy,12th,63,11.7%,116,34,18,46.2,41.0,43.6,57.2,2180,7960,1197,2111,398,1266,161,986,.265,.346,.469,.815,121,,,,,,,,,,,,,,*8*9372
15,Harold Baines,4th,33,6.1%,66,44,22,38.5,21.3,29.9,58.1,2830,9908,1299,2866,384,1628,34,1062,.289,.356,.465,.820,121,,,,,,,,,,,,,,*D*98/7
16,Andres Galarraga,1st,22,4.1%,114,35,19,31.5,26.3,28.9,54.2,2257,8096,1195,2333,399,1425,128,583,.288,.347,.499,.846,119,,,,,,,,,,,,,,*3D/5
17,Robin Ventura,1st,7,1.3%,34,30,16,55.9,38.5,47.2,55.0,2079,7064,1006,1885,294,1182,24,1075,.267,.362,.444,.806,114,0,0,0.00,,1.000,1,0,0,1.0,1,0,0,0,*53/D416
18,Ellis Burks,1st,2,0.4%,52,42,18,49.6,31.9,40.7,57.2,2000,7232,1253,2107,352,1206,181,793,.291,.363,.510,.874,126,,,,,,,,,,,,,,*8*9*D7
19,Eric Karros,1st,2,0.4%,30,17,14,10.2,13.4,11.8,54.2,1755,6441,797,1724,284,1027,59,552,.268,.325,.454,.779,107,,,,,,,,,,,,,,*3/D
20,David Segui,1st,1,0.2%,15,16,15,10.4,13.6,12.0,54.2,1456,4847,683,1412,139,684,17,524,.291,.359,.443,.802,110,,,,,,,,,,,,,,*3D7/9
21,Kevin Appier,1st,1,0.2%,32,24,16,54.9,43.3,49.1,62.1,414,83,4,8,0,4,0,1,.096,.118,.096,.214,-42,169,137,3.74,121,1.294,414,402,0,2595.1,2425,232,933,1994,*1
22,Pat Hentgen,1st,1,0.2%,37,12,14,32.7,30.6,31.6,62.1,344,84,4,9,0,0,0,4,.107,.148,.107,.255,-33,131,112,4.32,108,1.391,344,306,1,2075.1,2111,269,775,1290,*1
23,Shane Reynolds,1st,0,0.0%,18,12,13,18.0,19.4,18.7,62.1,306,546,34,77,5,43,0,14,.141,.165,.196,.361,-5,114,96,4.09,103,1.314,305,278,0,1791.2,1935,191,419,1403,*1
24,Michael Jackson,1st,0,0.0%,47,11,17,19.4,13.9,16.6,34.4,1005,28,3,5,0,1,0,1,.179,.207,.250,.457,21,62,67,3.42,126,1.218,1005,7,142,1188.1,983,127,464,1006,*1
25,Todd Zeile,1st,0,0.0%,14,27,16,19.3,14.8,17.1,55.0,2158,7573,986,2004,253,1110,53,945,.265,.346,.423,.769,104,0,0,22.50,27,3.500,2,0,0,2.0,5,0,2,1,*5*32/D71
26,Ray Lankford,1st,0,0.0%,23,26,14,38.1,31.3,34.7,57.2,1701,5747,968,1561,238,874,258,828,.272,.364,.477,.840,123,,,,,,,,,,,,,,*8*7/D9
